aggregation,test_aggregation,pos_weight,batch_size,lr,dataset_config_name,specificity,sensitivity,cws
,MEAN,1.0,128,0.05,embed,0.7967803869443214,0.72782874617737,0.0
,MAX,1.0,128,0.05,embed,0.5836656328459607,0.8134556574923547,0.0
,MEAN,1.0,128,0.001,embed,0.7183577019642593,0.8073394495412844,0.0
,MAX,1.0,128,0.001,embed,0.5307930881701374,0.8623853211009175,0.0
,MEAN,1.0,128,0.005,embed,0.5021414857480431,0.9021406727828746,0.5235482135767886
,MAX,1.0,128,0.005,embed,0.3085216363904888,0.9418960244648318,0.7274818810388064
,MEAN,1.0,256,0.1,embed,0.8969133067493723,0.5932721712538226,0.0
,MAX,1.0,256,0.1,embed,0.7530645399497858,0.709480122324159,0.0
,MEAN,1.0,256,0.002,embed,0.7075764288879043,0.8165137614678899,0.0
,MAX,1.0,256,0.002,embed,0.5186826170432728,0.8746177370030581,0.0
,MEAN,1.0,256,0.01,embed,0.4928370993944764,0.9021406727828746,0.5142438272232219
,MAX,1.0,256,0.01,embed,0.2989218726923645,0.944954128440367,0.748463157096034
,MEAN,1.0,512,0.2,embed,0.999113867966327,0.0336391437308868,0.0
,MAX,1.0,512,0.2,embed,0.9961600945207504,0.0764525993883792,0.0
,MEAN,1.0,512,0.004,embed,0.7099394476443657,0.8165137614678899,0.0
,MAX,1.0,512,0.004,embed,0.5211933244720129,0.8715596330275229,0.0
,MEAN,1.0,512,0.02,embed,0.8109584994830896,0.7217125382262997,0.0
,MAX,1.0,512,0.02,embed,0.6349136021267169,0.7920489296636085,0.0
,MEAN,1.5,128,0.05,embed,0.6818785999113868,0.8379204892966361,0.0
,MAX,1.5,128,0.05,embed,0.4565056860138827,0.9021406727828746,0.4779124138426282
,MEAN,1.5,128,0.001,embed,0.5136612021857924,0.9021406727828746,0.5350679300145379
,MAX,1.5,128,0.001,embed,0.3259488997193915,0.9418960244648318,0.7449091443677092
,MEAN,1.5,128,0.005,embed,0.2900605523556343,0.9755351681957186,1.0454122343128203
,MAX,1.5,128,0.005,embed,0.146950228917442,0.981651376146789,0.0
,MEAN,1.5,256,0.1,embed,0.4588687047703441,0.908256880733945,0.5414375121097934
,MAX,1.5,256,0.1,embed,0.2653965440850687,0.944954128440367,0.7149378284887382
,MEAN,1.5,256,0.002,embed,0.5056860138827352,0.9021406727828746,0.5270927417114807
,MAX,1.5,256,0.002,embed,0.3185644661054497,0.9418960244648318,0.7375247107537672
,MEAN,1.5,256,0.01,embed,0.2863683355486634,0.9724770642201837,1.0111389777504998
,MAX,1.5,256,0.01,embed,0.1437010781273076,0.9785932721712538,0.0
,MEAN,1.5,512,0.2,embed,0.9887756609068084,0.1743119266055046,0.0
,MAX,1.5,512,0.2,embed,0.9618963225520604,0.2782874617737003,0.0
