aggregation,test_aggregation,pos_weight,batch_size,lr,dataset_config_name,specificity,sensitivity,cws
,MEAN,1.0,512,0.2,embed,0.999113867966327,0.0336391437308868,0.0
,MAX,1.0,512,0.2,embed,0.9961600945207504,0.0764525993883792,0.0
,MEAN,1.5,128,0.005,embed,0.2900605523556343,0.9755351681957186,1.0454122343128205
,MAX,1.5,128,0.005,embed,0.146950228917442,0.981651376146789,0.0
,MEAN,1.5,512,0.2,embed,0.9887756609068084,0.1743119266055046,0.0
,MAX,1.5,512,0.2,embed,0.9618963225520604,0.2782874617737003,0.0
MAX,MEAN,1.0,128,0.05,embed,0.9054792497415448,0.6146788990825688,0.0
MAX,MEAN,1.0,128,0.001,embed,0.8608772707133363,0.6850152905198776,0.0
MAX,MEAN,1.0,128,0.005,embed,0.8184906217693103,0.7431192660550459,0.0
MAX,MEAN,1.0,256,0.1,embed,0.8040171318859843,0.7431192660550459,0.0
MAX,MEAN,1.0,256,0.002,embed,0.8626495347806823,0.6850152905198776,0.0
MAX,MEAN,1.0,256,0.01,embed,0.7933835474819081,0.7614678899082569,0.0
MAX,MEAN,1.0,512,0.004,embed,0.8797814207650273,0.6391437308868502,0.0
MAX,MEAN,1.5,512,0.2,embed,0.0236301875646137,0.9969418960244648,0.0
MAX,MAX,1.5,512,0.2,embed,0.0075321222862206,0.9969418960244648,0.0
MAX,MAX,1.5,512,0.02,embed,0.3107369664746714,0.9541284403669724,0.8520213701443954
MEAN,MEAN,1.0,128,0.05,embed,0.8325210456357998,0.7186544342507645,0.0
MEAN,MEAN,1.0,128,0.001,embed,0.7551321813616896,0.8195718654434251,0.0
MEAN,MEAN,1.0,128,0.005,embed,0.7227883621326244,0.8501529051987767,0.0
MEAN,MEAN,1.0,256,0.002,embed,0.7571998227735932,0.8195718654434251,0.0
MEAN,MEAN,1.0,256,0.01,embed,0.701521193324472,0.8593272171253823,0.0
MEAN,MEAN,1.0,512,0.2,embed,0.1151971643774922,0.9877675840978594,0.0
MEAN,MAX,1.0,512,0.2,embed,0.010781273076355,0.9969418960244648,0.0
MEAN,MEAN,1.0,512,0.004,embed,0.7730025107074288,0.8012232415902141,0.0
MEAN,MEAN,1.0,512,0.02,embed,0.5715551617190961,0.9235474006116208,0.8070291678353037
MEAN,MEAN,1.5,128,0.05,embed,0.6046374243095555,0.908256880733945,0.6872062316490047
MEAN,MEAN,1.5,128,0.001,embed,0.5895731797371142,0.9235474006116208,0.8250471858533217
MEAN,MEAN,1.5,128,0.005,embed,0.5597400679367892,0.9235474006116208,0.7952140740529967
MEAN,MEAN,1.5,256,0.1,embed,0.2438339979323585,0.9755351681957186,0.9991856798895444
MEAN,MAX,1.5,256,0.1,embed,0.0255501403042386,0.9908256880733946,0.0
MEAN,MEAN,1.5,256,0.002,embed,0.5935607738886427,0.9235474006116208,0.8290347800048502
MEAN,MEAN,1.5,256,0.01,embed,0.5275439373800029,0.9327217125382264,0.8547610627622672
MEAN,MEAN,1.5,512,0.2,embed,0.0624723083739477,0.9877675840978594,0.0
MEAN,MAX,1.5,512,0.2,embed,0.0038399054792497,0.9969418960244648,0.0
MEAN,MEAN,1.5,512,0.004,embed,0.6182247821592084,0.908256880733945,0.7007935894986577
MEAN,MEAN,1.5,512,0.02,embed,0.410279131590607,0.9541284403669724,0.951563535260331
MEAN,MAX,1.5,512,0.02,embed,0.0471126864569487,0.9908256880733946,0.0
