aggregation,test_aggregation,pos_weight,batch_size,lr,dataset_config_name,specificity,sensitivity
MAX,MEAN,1,128,0.05,embed,0.9054792497415448,0.6146788990825688
MAX,MAX,1,128,0.05,embed,0.7264805789395953,0.7859327217125383
MAX,MEAN,1,128,0.001,embed,0.8608772707133363,0.6850152905198776
MAX,MAX,1,128,0.001,embed,0.6688819967508493,0.8287461773700305
MAX,MEAN,1,128,0.005,embed,0.8184906217693103,0.7431192660550459
MAX,MAX,1,128,0.005,embed,0.6120218579234973,0.8532110091743119
MAX,MEAN,1,256,0.1,embed,0.8040171318859843,0.7431192660550459
MAX,MAX,1,256,0.1,embed,0.5891301137202777,0.8562691131498471
MAX,MEAN,1,256,0.002,embed,0.8626495347806823,0.6850152905198776
MAX,MAX,1,256,0.002,embed,0.6721311475409836,0.8287461773700305
MAX,MEAN,1,256,0.01,embed,0.7933835474819081,0.7614678899082569
MAX,MAX,1,256,0.01,embed,0.5795303500221533,0.8593272171253823
MAX,MEAN,1,512,0.2,embed,0.7458277950081229,0.7522935779816514
MAX,MAX,1,512,0.2,embed,0.5433466253138385,0.8379204892966361
MAX,MEAN,1,512,0.004,embed,0.8797814207650273,0.6391437308868502
MAX,MAX,1,512,0.004,embed,0.7019642593413086,0.8012232415902141
MAX,MEAN,1,512,0.02,embed,0.7063949195096736,0.8287461773700305
MAX,MAX,1,512,0.02,embed,0.48427115640230395,0.8990825688073395
